fua_code,fua_name,Year,kernel_mean
IT008L3,Bari,2000,26.94789937856865
IT009L1,Bologna,2000,25.150082193646924
IT010L2,Catania,2000,41.979307251634054
IT011L2,Venezia,2000,38.87972061469749
IT012L3,Verona,2000,47.07910618354228
IT013L3,Cremona,2000,60.06930439122269
IT014L3,Trento,2000,75.52288644694467
IT015L1,Trieste,2000,73.62679947299927
IT016L3,Perugia,2000,49.21729828625345
IT017L3,Ancona,2000,30.309710573654357
IT019L2,Pescara,2000,30.190984230908608
IT020L3,Campobasso,2000,35.99873786560832
IT021L2,Caserta,2000,45.20752584509144
IT022L2,Taranto,2000,27.40374684959977
IT023L2,Potenza,2000,46.424451942219555
IT024L3,Catanzaro,2000,53.97340165592993
IT025L3,Reggio di Calabria,2000,43.72032268731328
IT026L3,Sassari,2000,31.724713762904287
IT027L2,Cagliari,2000,33.49604972045645
IT028L3,Padova,2000,37.867769668531324
IT029L3,Brescia,2000,55.12416229234668
IT030L3,Modena,2000,39.99393796498727
IT031L3,Foggia,2000,25.162749270237327
IT032L3,Salerno,2000,62.219435835148886
IT033L2,Piacenza,2000,38.54708930488995
IT034L1,Bolzano,2000,84.33550506591774
IT035L2,Udine,2000,65.71939409260276
IT036L2,La Spezia,2000,71.53884050061698
IT037L1,Lecce,2000,23.571745588110222
IT038L1,Barletta,2000,37.04396320493064
IT039L2,Pesaro,2000,40.36422988708403
IT040L2,Como,2000,62.047027356436836
IT041L2,Pisa,2000,42.758673178354215
IT042L1,Treviso,2000,53.34621779351675
IT043L2,Varese,2000,68.24462976415955
IT045L2,Asti,2000,65.83313471307109
IT046L2,Pavia,2000,52.83302720523163
IT047L1,Massa,2000,49.4580722752617
IT048L2,Cosenza,2000,70.83929336018923
IT052L1,Savona,2000,81.6501192460948
IT054L1,Matera,2000,10.60600976735472
IT056L1,Acireale,2000,59.67857900944927
IT057L2,Avellino,2000,62.57317048656256
IT058L2,Pordenone,2000,56.946595448844676
IT060L1,Lecco,2000,68.83875636179434
IT061L0,Altamura,2000,14.95082182480699
IT064L1,Battipaglia,2000,30.678548763296998
IT065L0,Bisceglie,2000,27.82067250597456
IT066L1,Carpi,2000,39.17554443717831
IT067L0,Cerignola,2000,32.5539028942467
IT068L1,Gallarate,2000,51.70907331428819
IT069L1,Gela,2000,15.8979332055425
IT073L1,Sassuolo,2000,42.12544534497453
IT501L2,Messina,2000,56.866721379609494
IT502L2,Prato,2000,42.796617457626965
IT503L3,Parma,2000,46.910233946657634
IT504L3,Livorno,2000,40.68646427617871
IT505L3,Reggio nell'Emilia,2000,50.55094591287117
IT506L2,Ravenna,2000,33.266893692961794
IT507L2,Ferrara,2000,15.312416755219878
IT508L3,Rimini,2000,34.82060062703569
IT509L3,Siracusa,2000,41.28954617476883
IT511L2,Bergamo,2000,45.8805406369927
IT512L3,ForlÃ¬,2000,53.11482404966854
IT513L3,Latina,2000,49.68596654725188
IT514L2,Vicenza,2000,49.18106605708749
IT515L2,Terni,2000,61.075736757044574
IT516L2,Novara,2000,46.3747827577602
IT518L1,Alessandria,2000,44.05878681216708
IT519L1,Arezzo,2000,56.24977450929195
IT520L1,Grosseto,2000,37.22309178001309
IT521L1,Brindisi,2000,27.07165826853053
IT522L1,Trapani,2000,13.260687487174799
IT523L1,Ragusa,2000,36.16172302824864
IT524L0,Andria,2000,29.105155733385963
IT525L0,Trani,2000,27.08487616867693
IT526L1,L'Aquila,2000,57.569296688676175
LT001L1,Vilnius,2000,64.54807671889863
LT002L1,Kaunas,2000,63.628984551494824
LT003L1,PanevÄÅ¾ys,2000,68.81634826635263
LT004L0,Alytus,2000,53.55763835358688
LT501L0,KlaipÄda,2000,36.19993445483365
LT502L0,Å iauliai,2000,34.05284928481767
LU001L1,Luxembourg,2000,81.56850585862324
LV001L1,RÄ«ga,2000,73.02218083699987
LV002L2,LiepÄja,2000,62.20708656087851
LV003L1,Jelgava,2000,64.4867899601062
LV501L1,Daugavpils,2000,81.67298393140577
ME001L1,Podgorica,2000,49.56482607851369
MK001L1,Skopje,2000,39.1089134578356
MK003L1,Bitola,2000,52.35833344252474
MK004L1,Tetovo,2000,66.63820646310472
MK005L1,Prilep,2000,34.254385775476095
MT001L1,Valletta,2000,44.78911658430373
NL001L3,s' Gravenhage,2000,63.85600858214444
NL002L3,Amsterdam,2000,68.2289383031792
NL003L3,Rotterdam,2000,66.50583752962191
NL004L3,Utrecht,2000,73.66058536584796
NL005L3,Eindhoven,2000,79.56603957791415
NL006L3,Tilburg,2000,79.885536460201
NL007L3,Groningen,2000,66.87761360581449
NL008L3,Enschede,2000,76.77024616212198
NL009L3,Arnhem,2000,73.7370810855816
NL010L3,Heerlen,2000,71.74105982453713
NL012L3,Breda,2000,75.12563150291422
NL013L3,Nijmegen,2000,71.24303160742575
NL014L3,Apeldoorn,2000,85.30187470765324
NL015L3,Leeuwarden,2000,78.28754282744272
NL016L3,Sittard-Geleen,2000,67.36550585193856
NL020L3,Roosendaal,2000,70.89157872195771
NL026L0,Alphen aan den Rijn,2000,76.600963640405
NL028L3,Bergen op Zoom,2000,65.51574482008367
NL030L0,Gouda,2000,64.33374040061184
NL032L3,MiddelburgÂ Â Â Â Â Â ,2000,74.04257376594862
NL503L3,s-Hertogenbosch,2000,72.17650098538041
NL504L3,Amersfoort,2000,70.51225317360729
NL505L3,Maastricht,2000,72.60646961210702
NL507L3,Leiden,2000,64.33396904618732
NL511L3,Zwolle,2000,76.3486955630571
NL512L3,Ede,2000,77.43017525952634
NL513L3,Deventer,2000,73.86675531066525
NL514L3,Alkmaar,2000,74.280044917113
NL515L3,Venlo,2000,69.18547733170573
NL519L3,Almelo,2000,72.88361656466316
NL520L3,Lelystad,2000,67.50456365188265
NL521L3,Oss,2000,76.57147044362719
NL522L3,Assen,2000,63.751899018554916
NL524L3,Veenendaal,2000,73.04243987163291
NL529L3,Soest,2000,41.85461960071429
NO001L1,Oslo,2000,64.49136270352899
NO002L1,Bergen,2000,63.67760959707623
NO003L1,Trondheim,2000,45.40292837157145
NO004L1,Stavanger,2000,75.71172081736287
NO005L1,Kristiansand,2000,89.58277936128725
PL001L2,Warszawa,2000,62.190742327667195
PL002L2,ÅÃ³dÅº,2000,55.04735464599867
PL003L2,KrakÃ³w,2000,58.82305592224682
PL004L2,WrocÅaw,2000,55.14820311029601
PL005L2,PoznaÅ,2000,58.74274694780159
PL006L2,GdaÅsk,2000,66.64948274535331
PL007L2,Szczecin,2000,69.85566053450492
PL008L2,Bydgoszcz,2000,61.77982333347655
PL009L2,Lublin,2000,56.485421560037665
PL010L2,Katowice,2000,69.08673818568418
PL011L2,BiaÅystok,2000,60.10306162045155
PL012L2,Kielce,2000,66.32896242463964
PL013L2,ToruÅ,2000,63.208618600319774
PL014L2,Olsztyn,2000,69.7964501678961
PL015L2,RzeszÃ³w,2000,70.85528147517422
PL016L2,Opole,2000,55.95484020512118
PL017L2,GorzÃ³w Wielkopolski,2000,61.90439482376807
PL018L2,Zielona GÃ³ra,2000,63.67473040435685
PL019L2,Jelenia GÃ³ra,2000,81.67713987892358
PL020L2,Nowy SÄcz,2000,81.87621049137927
PL021L2,SuwaÅki,2000,55.546611488119325
PL022L2,Konin,2000,57.94700993653107
PL024L2,CzÄstochowa,2000,69.30060018933793
PL025L2,Radom,2000,42.05163175083458
PL026L2,PÅock,2000,61.465645425383244
PL027L2,Kalisz,2000,47.50992192024016
PL028L2,Koszalin,2000,65.14045228594382
