fua_code,Year,Gini
CH005L2,2011,0.15404
CH005L2,2014,0.12788
CH005L2,2015,0.13875
CH005L2,2016,0.12445
CH005L2,2017,0.13352
CH005L2,2018,0.13151
CH005L2,2019,0.14389
CH005L2,2020,0.13288
CH006L1,2000,0.16682
CH006L1,2001,0.18864
CH006L1,2002,0.22275
CH006L1,2003,0.2044
CH006L1,2004,0.21145
CH006L1,2005,0.20058
CH006L1,2006,0.1995
CH006L1,2007,0.20478
CH006L1,2008,0.19727
CH006L1,2009,0.19503
CH006L1,2010,0.2047
CH006L1,2011,0.21193
CH006L1,2014,0.19339
CH006L1,2015,0.21531
CH006L1,2016,0.18945
CH006L1,2017,0.19252
CH006L1,2018,0.20112
CH006L1,2019,0.20086
CH006L1,2020,0.19466
CH007L2,2000,0.09857
CH007L2,2001,0.10397
CH007L2,2002,0.23092
CH007L2,2003,0.09466
CH007L2,2004,0.10912
CH007L2,2005,0.12953
CH007L2,2006,0.12765
CH007L2,2007,0.13042
CH007L2,2008,0.13032
CH007L2,2009,0.12421
CH007L2,2010,0.12762
CH007L2,2011,0.12624
CH007L2,2014,0.12425
CH007L2,2015,0.12134
CH007L2,2016,0.12161
CH007L2,2017,0.11527
CH007L2,2018,0.12941
CH007L2,2019,0.12288
CH007L2,2020,0.1279
CH008L2,2000,0.13181
CH008L2,2001,0.14949
CH008L2,2002,0.16986
CH008L2,2003,0.14597
CH008L2,2004,0.15578
CH008L2,2005,0.15485
CH008L2,2006,0.15503
CH008L2,2007,0.15687
CH008L2,2008,0.16312
CH008L2,2009,0.13731
CH008L2,2010,0.15817
CH008L2,2011,0.16183
CH008L2,2014,0.14428
CH008L2,2015,0.14905
CH008L2,2016,0.14627
CH008L2,2017,0.14599
CH008L2,2018,0.14534
CH008L2,2019,0.14585
CH008L2,2020,0.14426
CH009L2,2000,0.18033
CH009L2,2001,0.17721
CH009L2,2002,0.19407
CH009L2,2003,0.16192
CH009L2,2004,0.2025
CH009L2,2005,0.17126
CH009L2,2006,0.22257
CH009L2,2007,0.17258
CH009L2,2008,0.1769
CH009L2,2009,0.17781
CH009L2,2010,0.20128
CH009L2,2011,0.18237
CH009L2,2014,0.13101
CH009L2,2015,0.13691
CH009L2,2016,0.13081
CH009L2,2017,0.13911
CH009L2,2018,0.14153
CH009L2,2019,0.13962
CH009L2,2020,0.13963
CH010L1,2000,0.17979
CH010L1,2001,0.18536
CH010L1,2002,0.19169
CH010L1,2003,0.18324
CH010L1,2004,0.19637
CH010L1,2005,0.2257
CH010L1,2006,0.18703
CH010L1,2007,0.20207
CH010L1,2008,0.18074
CH010L1,2009,0.18587
CH010L1,2010,0.20238
CH010L1,2011,0.19231
CH010L1,2014,0.17006
CH010L1,2015,0.19088
CH010L1,2016,0.18057
CH010L1,2017,0.17891
CH010L1,2018,0.17835
CH010L1,2019,0.18498
CH010L1,2020,0.17953
CY001L2,2000,0.42901
